                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7114,                 1.6756,                 1.6603,                0.80555,                0.75473,                0.81728,                0.37093,                 1.8639,                   1.05,                 1.6578,              0.0033316,              0.0033316,              0.0033316
                      2,                 1.6506,                 1.0698,                 1.5946,                0.82509,                 0.7491,                0.80683,                0.36615,                 1.8722,                 1.1091,                 1.7012,              0.0065989,              0.0065989,              0.0065989
                      3,                 1.6599,                 1.0919,                 1.6091,                 0.8243,                  0.746,                0.80872,                0.36021,                 1.8849,                 1.0567,                 1.6836,              0.0098003,              0.0098003,              0.0098003
                      4,                  1.656,                 1.0719,                 1.6123,                0.83913,                0.76004,                0.83003,                0.38444,                 1.8317,                 1.0303,                 1.6682,               0.009703,               0.009703,               0.009703
                      5,                 1.6379,                 1.0115,                 1.5982,                0.85351,                 0.8069,                0.86412,                0.40545,                 1.8088,                0.92514,                  1.647,               0.009604,               0.009604,               0.009604
                      6,                 1.6234,                0.97339,                 1.5882,                0.87095,                0.83286,                0.87967,                0.40907,                 1.8151,                0.91629,                 1.6323,               0.009505,               0.009505,               0.009505
                      7,                 1.6099,                0.95162,                 1.5758,                0.88375,                0.83734,                  0.886,                0.42128,                 1.7878,                0.88866,                 1.6123,               0.009406,               0.009406,               0.009406
                      8,                  1.601,                0.92453,                 1.5667,                 0.8728,                0.85501,                 0.8854,                0.42153,                 1.7816,                 0.8519,                 1.6139,               0.009307,               0.009307,               0.009307
                      9,                 1.5965,                0.91272,                 1.5652,                0.88927,                0.87022,                 0.9007,                 0.4295,                  1.794,                 0.8097,                 1.6064,               0.009208,               0.009208,               0.009208
                     10,                 1.5938,                 0.9006,                 1.5603,                0.89151,                0.87016,                0.90537,                0.43512,                 1.7746,                0.82124,                 1.5972,               0.009109,               0.009109,               0.009109
                     11,                  1.589,                0.89721,                 1.5569,                0.89753,                0.88045,                0.90692,                0.43667,                 1.7864,                0.78606,                 1.6022,                0.00901,                0.00901,                0.00901
                     12,                 1.5835,                0.87642,                 1.5543,                0.89306,                0.87863,                0.90528,                0.43823,                 1.7813,                0.79305,                 1.6078,               0.008911,               0.008911,               0.008911
                     13,                 1.5816,                0.86959,                 1.5535,                0.90027,                 0.8841,                0.90979,                0.44165,                 1.7702,                0.80116,                 1.5943,               0.008812,               0.008812,               0.008812
                     14,                 1.5695,                0.86323,                 1.5412,                0.90282,                0.89358,                0.91643,                 0.4455,                 1.7685,                0.77549,                 1.5912,               0.008713,               0.008713,               0.008713
                     15,                 1.6019,                0.97346,                 1.2674,                0.89253,                 0.8206,                0.87296,                 0.4195,                 1.7675,                0.87762,                 1.2837,               0.008614,               0.008614,               0.008614
                     16,                 1.5911,                 0.9302,                 1.2599,                0.89293,                0.83113,                0.87958,                0.42324,                 1.7683,                0.86587,                 1.2833,               0.008515,               0.008515,               0.008515
                     17,                 1.5847,                0.91678,                 1.2572,                0.89468,                0.83974,                0.88397,                 0.4276,                 1.7615,                 0.8477,                 1.2826,               0.008416,               0.008416,               0.008416
                     18,                 1.5793,                0.89611,                 1.2573,                0.90297,                0.84888,                  0.893,                0.43157,                 1.7635,                0.82206,                 1.2884,               0.008317,               0.008317,               0.008317
                     19,                 1.5754,                0.88988,                  1.257,                0.89967,                0.85611,                0.89394,                0.43413,                 1.7524,                0.82093,                 1.2854,               0.008218,               0.008218,               0.008218
                     20,                 1.5718,                0.88516,                 1.2587,                0.89815,                0.85589,                0.89734,                0.43719,                 1.7474,                 0.8182,                 1.2847,               0.008119,               0.008119,               0.008119
                     21,                 1.5685,                0.87619,                 1.2563,                0.90136,                 0.8576,                0.89834,                 0.4371,                 1.7549,                0.80289,                 1.2887,                0.00802,                0.00802,                0.00802
                     22,                 1.5652,                0.86333,                  1.252,                0.90381,                0.85873,                0.89981,                0.43963,                 1.7498,                0.79227,                 1.2826,               0.007921,               0.007921,               0.007921
                     23,                 1.5647,                0.86277,                 1.2541,                0.90265,                0.86604,                0.90157,                0.44007,                 1.7498,                0.78871,                 1.2848,               0.007822,               0.007822,               0.007822
                     24,                 1.5642,                0.85874,                 1.2578,                0.90357,                0.86689,                 0.9022,                0.44174,                 1.7452,                0.78878,                 1.2887,               0.007723,               0.007723,               0.007723
                     25,                  1.565,                0.85288,                  1.256,                0.90464,                0.87004,                0.90553,                0.44323,                 1.7498,                0.78161,                 1.2904,               0.007624,               0.007624,               0.007624
                     26,                 1.5608,                0.83928,                 1.2618,                0.90547,                0.87189,                0.90551,                0.44272,                 1.7511,                0.77668,                  1.294,               0.007525,               0.007525,               0.007525
                     27,                 1.5591,                 0.8387,                 1.2574,                0.90693,                0.87302,                0.90444,                0.44355,                 1.7521,                0.77277,                  1.294,               0.007426,               0.007426,               0.007426
                     28,                 1.5516,                0.83098,                 1.2559,                0.90728,                0.87374,                0.90628,                0.44458,                 1.7503,                0.76936,                 1.2948,               0.007327,               0.007327,               0.007327
                     29,                  1.559,                 0.8293,                 1.2596,                 0.9067,                0.87401,                0.90821,                0.44559,                 1.7509,                0.76483,                 1.2959,               0.007228,               0.007228,               0.007228
                     30,                 1.5555,                0.81812,                 1.2613,                0.90521,                0.87523,                0.90832,                0.44564,                 1.7505,                0.76225,                  1.298,               0.007129,               0.007129,               0.007129
                     31,                 1.5536,                0.81674,                 1.2646,                0.90633,                0.87477,                0.90817,                 0.4459,                 1.7505,                0.76016,                 1.3004,                0.00703,                0.00703,                0.00703
